元梦之星创作者平台LUA编程通用数据定义

充能大招列表
描述: 相关函数：设置玩家当前充能大招（SetRechargedAbility）
充能大招名字	充能大招ID
三重回旋镖	91002
雪人炮弹	91004
旋风锤	91006
喷气滑翔翼	91007
铁头冲锋	91008
陨石术	91009
魔法瓶	91010
芭蕉扇	91011
雷隐术	91012
能量护盾	91013
粘性炸弹	91014
守护精灵	91015
道具盲盒	91016
云朵方块	91018
冰雪公主	91020
反弹护盾	91021

动画列表
描述: 相关函数：让角色播放动作（PlayAnim）、让角色停止播放动作（StopAnim）
动画类型	动画名字	动画参数
角色动画	六段冲掌	”PunchPalm01”
角色动画	蓄力冲掌	”ChargePalm01”
角色动画	强力捶地	”PoundGround01”
角色动画	元气弹	”VitalityBomb”
角色动画	四段冲拳	”Punching01”
角色动画	碾地冲击	”GroundImpact01”
角色动画	剑气冲击	”SwordEnergy”
角色动画	狮吼	”LionRoar”
角色动画	黑龙波	”DragonWave01”
角色动画	黑洞	”BlackHole01”
角色动画	黑暗降临	”DarknessFalls01”
角色动画	暗影碾压	”ShadowCrush01”
角色动画	震荡冲击	”ConcussiveShock01”
角色动画	能量冲击	”EnergyBlast01”
角色动画	空间碎裂	”SpaceFragmentation01”
角色动画	召唤圣光	”SummonLight”
角色动画	天降正义	”JusticeHeaven01”
角色动画	瞬移	”Teleport01”
角色动画	退散	”Retreat01”
角色动画	暗影冲击	”ShadowBlast01”
角色动画	飞行冲击	”FlightShock01”
角色动画	天崩地裂	”SkyFalling01”
角色动画	泰山压顶	”MountTai01”
角色动画	诛邪退散	”BanishEvil”
角色动画	右手爪击	”RightClaw01”
角色动画	左手爪击	”LeftStrike01”
角色动画	双手爪击	”ClawStrike01”
角色动画	正前抱摔	”Hugthrow01”
角色动画	回旋踢	”RoundhouseKick01”
角色动画	蓄力前冲	”ChargeForward01”
角色动画	撕裂冲锋	”TearingCharge01”
角色动画	铁头攻击	”IronHead01”
角色动画	铁头撞击	”IronHeadSprint01”
角色动画	铁头飞行	”IronHeadFly01”
角色动画	蛮牛冲撞	”BullRam01”
角色动画	单手蓄力冲击	”HandImpact01”
角色动画	双手蓄力冲击	”HandImpact02”
角色动画	前空翻	”ForwardRoll01”
角色动画	上冲拳	”Shoryuken01”
角色动画	气功波	”KameHameHa01”
角色动画	战术翻滚	”HSRolling01”
角色动画	喵喵舞	”DanceMeow”
角色动画	毕业啦	”Diumaozi”
角色动画	看书	”Kanshu”
角色动画	单手摇摆应援	”GlowStick_1”
角色动画	单手激烈应援	”GlowStick_2”
角色动画	单手站姿应援	”StickPose”
角色动画	双手摇摆应援	”LightBoard2”
角色动画	双手激烈应援	”LightBoard1”
角色动画	双手站姿应援	”LightBoardPose”
角色动画	秀肌肉	”XiuJiRou”
角色动画	拜托拜托	”Please”
角色动画	你打我呀	”HitMe”
角色动画	让我看看	”LetMeSee”
角色动画	与卡皮巴拉共舞	”KaPiBaLa”
角色动画	求求你了	”BegHard”
角色动画	为你打气	”Like002”
角色动画	掏枪射击	”GunShooting”
角色动画	举哑铃	”DumbBell”
角色动画	躺平模式	”DaoTouJiuShui”
角色动画	骑车	”Drive001”
角色动画	庆祝1	”Win001”
角色动画	庆祝2	”Win002”
角色动画	庆祝3	”Win003”
角色动画	庆祝4	”Win004”
角色动画	庆祝5	”Win005”
角色动画	炸鱼并接住	”BombFish”
角色动画	大鱼上钩	”CatchBig”
角色动画	大鱼起竿	”CatchHuge”
角色动画	大鱼炫耀	”ShowFish”
角色动画	撒饵	”Fertilization”
角色动画	待机	”Holding”
角色动画	持竿待机	”HoldFishing”
角色动画	钓鱼收杆	”FishingMiss”
角色动画	抛竿	”ThrowFishingRod”
角色动画	锄地	”Hoeing”
角色动画	收菜	”Pullup”
角色动画	神农偷菜	”Steal2”
角色动画	神农炸鱼	”ThrowBomb2”
角色动画	神农许愿	”Wish”
角色动画	浇水	”Watering”
角色动画	手持弓箭待机	”BowIdle”
角色动画	拉弓	”BowStartAttack”
角色动画	射弓	”BowAttack”
角色动画	后倒（弓）	“BowFallBackLoop”
角色动画	后倒起身（弓）	“BowFallBackToIdle”
角色动画	前倒（弓）	“BowFallFrontLoop”
角色动画	前倒起身（弓）	“BowFallFrontToIdle”
角色动画	后倒	”CommonFallBackLoop”
角色动画	后倒起身	”CommonFallBackToIdle”
角色动画	前倒	”CommonFallFrontLoop”
角色动画	前倒起身	”CommonFallFrontToIdle”
角色动画	持斧劈砍	”AxeAttack”
角色动画	手持斧头待机	”AxeIdle”
角色动画	擎斧蓄势	”AxeStartAttack”
角色动画	持矛投掷	”SpearAttack”
角色动画	手持长矛待机	”SpearIdle”
角色动画	举矛凝掷	”SpearStartAttack”
技能动画	匕首轻击	”Knife01”
技能动画	匕首重击	”Knife02”
技能动画	军刀左挥	”Saber01”
技能动画	军刀右挥	”Saber02”
技能动画	军刀重击	”Saber03”
技能动画	左脚踢	”KickLeft01”
技能动画	右脚踢	”KickRight01”
技能动画	重斧下劈	”Axe01”
技能动画	长枪突刺	”Spear01”
技能动画	长戟挥击	”Halberd”
技能动画	短剑横削	”SlashShortSword”
技能动画	重剑挥砍	”SwingHeavySword”
技能动画	盾击	”Shield01”
技能动画	重剑防御	”HSBlock01”
技能动画	重剑反击	”HSBlockAtk”
技能动画	短剑跳劈	”SkillSword03”
技能动画	短剑重削	”SkillSword04”
技能动画	重剑连击01	”HSCombo101”
技能动画	重剑连击02	”HSCombo102”
技能动画	重剑连击03	”HSCombo103”
技能动画	重剑连击04	”HSCombo104”
技能动画	轻剑连击01	”SCombo101”
技能动画	轻剑连击02	”SCombo102”
技能动画	轻剑连击03	”SCombo103”
技能动画	重锤连击01	”HHCombo101”
技能动画	重锤连击02	”HHCombo102”
技能动画	重锤连击03	”HHCombo103”
技能动画	棍戟连击01	”STCombo101”
技能动画	棍戟连击02	”STCombo102”
技能动画	棍戟连击03	”STCombo103”
技能动画	法杖连击01	”MGCombo101”
技能动画	法杖连击02	”MGCombo102”
技能动画	法杖连击03	”MGCombo103”
技能动画	匕首连击01	”DGCombo101”
技能动画	匕首连击02	”DGCombo102”
技能动画	匕首连击03	”DGCombo103”
技能动画	重锤跳劈01	”HeroHammer03”
技能动画	重锤跳劈02	”HeroHammer04”

音效列表
描述: 相关函数：播放3D音效（PlaySFXAudio3DInTarget）、播放2D音效（PlaySFXAudio2D）
一级分类	二级分类	音效名字	音效ID
无	无	无音效	-1
环境氛围	自然环境	阴森寒风	700086
环境氛围	自然环境	粗犷风声	700087
环境氛围	自然环境	轻柔微风	700088
环境氛围	自然环境	树叶摇曳	700089
环境氛围	自然环境	打雷	700090
环境氛围	自然环境	连续雷声	700091
环境氛围	自然环境	下雨	700092
环境氛围	自然环境	暴雨	700093
环境氛围	自然环境	河流	700094
环境氛围	自然环境	海浪	700095
环境氛围	自然环境	洞穴水滴	700096
环境氛围	自然环境	瀑布	700097
环境氛围	自然环境	熔岩	700098
环境氛围	自然环境	海底潜水	700238
环境氛围	自然环境	暴风雪	700239
环境氛围	自然环境	闲适农场	700242
环境氛围	自然环境	夜晚田园	700288
环境氛围	自然环境	篝火燃烧	700289
环境氛围	人文环境	喧闹星宝	700099
环境氛围	人文环境	机器轰鸣制造间	700100
环境氛围	人文环境	钟楼	700085
环境氛围	人文环境	校园铃声1	700230
环境氛围	人文环境	校园铃声2	700231
环境氛围	人文环境	校园铃声3	700232
环境氛围	人文环境	餐厅点单铃	700233
环境氛围	人文环境	敲钟	700236
环境氛围	人文环境	撞钟	700237
环境氛围	人文环境	办公室	700240
环境氛围	人文环境	街头闹市	700241
环境氛围	人文环境	街区车流	700243
环境氛围	人文环境	医院大堂	700244
环境氛围	人文环境	打字机	700305
环境氛围	人文环境	开锁	700306
环境氛围	主题氛围	科幻1	700101
环境氛围	主题氛围	科幻2	700102
环境氛围	主题氛围	电子1	700103
环境氛围	主题氛围	电子2	700104
环境氛围	主题氛围	电子3	700105
环境氛围	主题氛围	恐怖氛围1	700107
环境氛围	主题氛围	恐怖氛围2	700108
环境氛围	主题氛围	恐怖氛围3	700109
环境氛围	主题氛围	惊吓1	700110
环境氛围	主题氛围	惊吓2	700111
环境氛围	主题氛围	惊吓3	700112
环境氛围	主题氛围	怪物警示	700290
环境氛围	主题氛围	恐怖氛围4	700291
环境氛围	主题氛围	恐怖氛围5	700292
环境氛围	主题氛围	恐怖氛围6	700293
环境氛围	主题氛围	恐怖氛围7	700294
环境氛围	主题氛围	恐怖氛围8	700295
环境氛围	主题氛围	恐怖氛围9	700296
环境氛围	主题氛围	恐怖氛围10	700297
环境氛围	主题氛围	恐怖氛围11	700298
环境氛围	主题氛围	恐怖氛围12	700299
环境氛围	主题氛围	惊吓4	700300
环境氛围	主题氛围	惊吓5	700301
环境氛围	主题氛围	惊吓6	700302
环境氛围	主题氛围	惊吓7	700303
环境氛围	主题氛围	惊吓8	700304
生产生活	日常生活	重物落地声	700078
生产生活	日常生活	开木门-长	700079
生产生活	日常生活	开木门-短	700080
生产生活	日常生活	关木门	700081
生产生活	日常生活	打碎玻璃	700082
生产生活	日常生活	拉闸声	700083
生产生活	日常生活	按电灯按钮	700084
生产生活	日常生活	翻书	700234
生产生活	日常生活	翻页	700235
生产生活	日常生活	抛物	700263
生产生活	日常生活	木制工具箱打开	700307
生产生活	日常生活	木制工具箱关闭	700308
生产生活	日常生活	机械臂下降	700309
生产生活	日常生活	开关按下	700310
生产生活	日常生活	球状物落地声	700311
生产生活	日常生活	建造声	700312
生产生活	日常生活	吹哨子	700356
生产生活	厨房烹饪	炒菜	700220
生产生活	厨房烹饪	切菜	700221
生产生活	厨房烹饪	洗菜/洗盘子	700222
生产生活	厨房烹饪	捣鼓	700223
生产生活	厨房烹饪	煮锅	700224
生产生活	厨房烹饪	燃气灶	700225
生产生活	厨房烹饪	油炸	700226
生产生活	厨房烹饪	微波炉叮的一声	700227
生产生活	厨房烹饪	搅拌机运作	700228
生产生活	厨房烹饪	搅拌机停止	700229
生产生活	交通工具	邮轮汽笛A	700001
生产生活	交通工具	邮轮汽笛B	700002
生产生活	交通工具	邮轮停止	700003
生产生活	交通工具	邮轮开始行驶	700004
生产生活	交通工具	UFO喇叭	700005
生产生活	交通工具	喷气飞机启动	700006
生产生活	交通工具	直升飞机启动	700007
生产生活	交通工具	喷气飞机熄火	700008
生产生活	交通工具	直升飞机熄火	700009
生产生活	交通工具	赛车喇叭	700010
生产生活	交通工具	自行车铃	700011
生产生活	交通工具	卡车喇叭	700012
生产生活	交通工具	越野车喇叭	700013
生产生活	交通工具	赛车引擎启动	700014
生产生活	交通工具	自行车开始行驶	700015
生产生活	交通工具	卡车引擎启动	700016
生产生活	交通工具	越野车引擎启动	700017
生产生活	交通工具	赛车停止	700018
生产生活	交通工具	自行车停止	700019
生产生活	交通工具	卡车刹车	700020
生产生活	交通工具	越野车刹车	700021
生产生活	交通工具	火车开始行驶	700022
生产生活	交通工具	卡车开始行驶	700023
生产生活	交通工具	越野车开始行驶	700024
生产生活	交通工具	赛车开始行驶	700025
生物音效	动作音效	角色跳跃1	1001
生物音效	动作音效	角色跳跃2	1002
生物音效	动作音效	角色飞扑	1003
生物音效	动作音效	角色着地1	1004
生物音效	动作音效	角色着地2	1005
生物音效	动作音效	角色碰撞轻	1006
生物音效	动作音效	角色碰撞中	1007
生物音效	动作音效	角色碰撞重	1008
生物音效	动作音效	角色扔道具	1009
生物音效	动作音效	角色抓取	1010
生物音效	动作音效	角色扔出	1011
生物音效	动作音效	角色走	1012
生物音效	动作音效	角色跑	1013
生物音效	动作音效	角色落地	1014
生物音效	动作音效	角色冲刺	1015
生物音效	动作音效	连续脚步声	700139
生物音效	动作音效	单次脚步声	700140
生物音效	动作音效	多人连续鼓掌	700149
生物音效	动作音效	单人连续鼓掌	700141
生物音效	动作音效	咀嚼	700142
生物音效	动作音效	饱嗝	700143
生物音效	动作音效	呕吐1	700144
生物音效	动作音效	呕吐2	700145
生物音效	动作音效	跳跃（局内）	700146
生物音效	动作音效	前扑（局内）	700147
生物音效	动作音效	疾跑（局内）	700148
生物音效	动作音效	喝饮料	700150
生物音效	动作音效	喝汤	700151
生物音效	动作音效	吞咽声	700313
生物音效	情绪情感	诡异笑声	700316
生物音效	情绪情感	诡异哭声	700317
生物音效	情绪情感	诡异尖叫声	700318
生物音效	情绪情感	嗯！（男性）	700319
生物音效	情绪情感	嗯！（女性）	700320
生物音效	情绪情感	嗯？（男性）	700321
生物音效	情绪情感	嗯？（女性）	700322
生物音效	情绪情感	唔…（男性）	700323
生物音效	情绪情感	唔…（女性）	700324
生物音效	动物声音	鸟鸣	700152
生物音效	动物声音	乌鸦叫声1	700153
生物音效	动物声音	乌鸦叫声2	700154
生物音效	动物声音	乌鸦叫声3	700155
生物音效	动物声音	乌鸦叫声4	700156
生物音效	动物声音	蝉鸣1	700157
生物音效	动物声音	蝉鸣2	700158
生物音效	动物声音	蝉鸣3	700159
生物音效	动物声音	蝉鸣4	700160
生物音效	动物声音	单只麻雀叫声	700161
生物音效	动物声音	多只麻雀叫声	700162
生物音效	动物声音	鸟类拍打翅膀	700163
生物音效	动物声音	鲸鱼1	700164
生物音效	动物声音	鲸鱼2	700165
生物音效	动物声音	鲸鱼3	700166
生物音效	动物声音	鲸鱼4	700167
生物音效	动物声音	鲸鱼5	700168
生物音效	动物声音	鲸鱼6	700169
生物音效	动物声音	鲸鱼7	700170
生物音效	动物声音	鲸鱼8	700171
生物音效	动物声音	鸡鸣	700315
生物音效	怪物声音	不明生物吼叫声	700314
乐器音效	唢呐	唢呐A2	90201
乐器音效	唢呐	唢呐A3	90202
乐器音效	唢呐	唢呐A4	90203
乐器音效	唢呐	唢呐B2	90204
乐器音效	唢呐	唢呐B3	90205
乐器音效	唢呐	唢呐B4	90206
乐器音效	唢呐	唢呐C3	90207
乐器音效	唢呐	唢呐C4	90208
乐器音效	唢呐	唢呐D3	90209
乐器音效	唢呐	唢呐D4	90210
乐器音效	唢呐	唢呐E2	90211
乐器音效	唢呐	唢呐E3	90212
乐器音效	唢呐	唢呐E4	90213
乐器音效	唢呐	唢呐F2	90214
乐器音效	唢呐	唢呐F3	90215
乐器音效	唢呐	唢呐F4	90216
乐器音效	唢呐	唢呐G2	90217
乐器音效	唢呐	唢呐G3	90218
乐器音效	唢呐	唢呐G4	90219
玩法机关	玩法道具	获得道具	2042
玩法机关	玩法道具	扔道具	2043
玩法机关	玩法道具	炸弹爆炸	2044
玩法机关	玩法道具	使用喇叭	2045
玩法机关	玩法道具	角色变大	2046
玩法机关	玩法道具	角色缩小	2047
玩法机关	玩法道具	冰块爆炸	2048
玩法机关	玩法道具	角色冰冻	2049
玩法机关	玩法道具	开始加速	2050
玩法机关	玩法道具	回旋镖开始	2055
玩法机关	玩法道具	放出路障	2057
玩法机关	玩法道具	滑翔	2058
玩法机关	玩法道具	喷气开始	2060
玩法机关	玩法道具	放爆炸笋	2061
玩法机关	玩法道具	磁铁吸附	2062
玩法机关	玩法道具	瞬移投掷	2063
玩法机关	玩法道具	瞬移落地	2064
玩法机关	玩法道具	使用撑杆	2065
玩法机关	玩法道具	尖叫鸭挥舞	6000
玩法机关	玩法道具	香蕉皮滑倒	6001
玩法机关	玩法道具	滚球发射	6002
玩法机关	玩法道具	变大复原	6003
玩法机关	玩法道具	变小复原	6004
玩法机关	玩法道具	捡起尖叫鸭	6005
玩法机关	玩法道具	滑翔伞打开	6006
玩法机关	玩法道具	滑翔伞收起	6007
玩法机关	玩法道具	滑翔伞飞行loop	6008
玩法机关	玩法道具	爆破炸弹倒计时	6009
玩法机关	玩法道具	雪人炸弹爆炸	6010
玩法机关	玩法道具	雪人炸弹冻住	6011
玩法机关	玩法道具	雪人炸弹解冻	6012
玩法机关	玩法道具	钓鱼竿甩杆	6013
玩法机关	玩法道具	钓鱼竿命中玩家	6014
玩法机关	玩法道具	传送陷阱开启	6015
玩法机关	玩法道具	传送陷阱传送	6016
玩法机关	玩法道具	烟花火箭发射	6017
玩法机关	玩法道具	烟花火箭爆炸	6018
玩法机关	玩法道具	涂色大炮开枪	6019
玩法机关	玩法道具	涂色大炮爆炸	6020
玩法机关	玩法道具	烟花筒开枪	6021
玩法机关	玩法道具	烟花筒爆炸	6022
玩法机关	玩法道具	三连烟花筒开枪	6023
玩法机关	玩法道具	三连烟花筒爆炸	6024
玩法机关	玩法道具	烟花盒	6025
玩法机关	玩法道具	烟花盒消失	6026
玩法机关	玩法道具	花瓣球	6027
玩法机关	玩法道具	泡泡枪	6028
玩法机关	玩法道具	撒币枪	6029
玩法机关	玩法道具	放置烟花盒	6030
玩法机关	玩法道具	回旋镖、尖叫鸭命中	6031
玩法机关	玩法道具	滚球命中	6032
玩法机关	玩法道具	仙人掌锤	6033
玩法机关	玩法道具	仙人掌锤命中	6034
玩法机关	玩法道具	吸尘器	6035
玩法机关	玩法道具	吸尘器命中	6036
玩法机关	玩法道具	手持鞭炮	6037
玩法机关	玩法道具	拾起道具	700325
玩法机关	玩法道具	选择道具	700326
玩法机关	玩法道具	选中道具	700327
玩法机关	玩法道具	拾取物品1	700328
玩法机关	玩法道具	拾取物品2	700329
玩法机关	玩法道具	使用道具	700330
玩法机关	玩法道具	装备道具	700331
玩法机关	玩法道具	步枪	700332
玩法机关	玩法道具	手炮	700333
玩法机关	玩法道具	飞刀	700334
玩法机关	玩法道具	能量枪	700335
玩法机关	玩法道具	魔法枪	700336
玩法机关	玩法道具	机枪	700337
玩法机关	玩法道具	手枪	700338
玩法机关	玩法道具	霰弹枪	700339
玩法机关	玩法道具	冲锋枪	700340
玩法机关	玩法道具	狙击枪	700341
玩法机关	玩法道具	真实步枪	700342
玩法机关	玩法道具	真实霰弹枪	700343
玩法机关	玩法道具	真实狙击枪	700344
玩法机关	玩法道具	抛掷轻物	700357
玩法机关	玩法道具	抛掷重物	700358
玩法机关	玩法道具	拉弓	700359
玩法机关	玩法道具	弓弦弹动	700360
玩法机关	玩法道具	咻-轻	700361
玩法机关	玩法道具	咻-中等	700362
玩法机关	玩法道具	咻-重	700363
玩法机关	玩法道具	落地声-轻	700364
玩法机关	玩法道具	落地声-中等	700365
玩法机关	玩法道具	落地声-重	700366
玩法机关	玩法道具	落水-轻	700367
玩法机关	玩法道具	落水-中等	700368
玩法机关	玩法道具	落水-重	700369
玩法机关	玩法道具	击中石头-轻	700370
玩法机关	玩法道具	击中石头-中等	700371
玩法机关	玩法道具	击中石头-重	700372
玩法机关	玩法道具	齿轮转动	700373
玩法机关	玩法元件	加速符	10000
玩法机关	玩法元件	传送门	10001
玩法机关	玩法元件	激光	10002
玩法机关	玩法元件	音浪柱	10003
玩法机关	玩法元件	旋转蹦床	10004
玩法机关	玩法元件	海盗船	10005
玩法机关	玩法元件	冰块裂痕	10006
玩法机关	玩法元件	冰块消失	10007
玩法机关	玩法元件	石头裂痕	10008
玩法机关	玩法元件	石头消失	10009
玩法机关	玩法元件	消失踏板踩下	10010
玩法机关	玩法元件	消失踏板消失	10011
玩法机关	玩法元件	进入重力场	10012
玩法机关	玩法元件	巨大星星炮	10013
玩法机关	玩法元件	离开重力场	10014
玩法机关	玩法元件	中等装置移动	10015
玩法机关	玩法元件	中等装置B移动	10016
玩法机关	玩法元件	小型装置移动	10017
玩法机关	玩法元件	大型装置移动	10018
玩法机关	玩法元件	小型装置B移动	10019
玩法机关	玩法元件	摆锤	10020
玩法机关	玩法元件	自动门打开	10021
玩法机关	玩法元件	自动门停止	10022
玩法机关	玩法元件	撞击物件	10023
玩法机关	玩法元件	摇摆桥	10024
玩法机关	玩法元件	星星炮发射	10025
玩法机关	玩法元件	石板翻转	10026
玩法机关	玩法元件	弹簧板	10027
玩法机关	玩法元件	向上弹起	10028
玩法机关	玩法元件	向上弹起2	10029
玩法机关	玩法元件	中国鼓蹦床	10030
玩法机关	玩法元件	踏板消耗踩踏	10031
玩法机关	玩法元件	踏板消失踩踏	10032
玩法机关	玩法元件	引线燃烧	10033
玩法机关	玩法元件	爆竹爆炸	10034
玩法机关	玩法元件	烟花发射	10035
玩法机关	玩法元件	烟花炸开	10036
玩法机关	玩法元件	拖动物体	10037
玩法机关	玩法元件	拖动大物体	10038
玩法机关	玩法元件	星星轻微碰撞	10039
玩法机关	玩法元件	星星中等碰撞	10040
玩法机关	玩法元件	星星重碰撞	10041
玩法机关	玩法元件	大石球重碰撞	10042
玩法机关	玩法元件	大石球中等碰撞	10043
玩法机关	玩法元件	大石球轻微碰撞	10044
玩法机关	玩法元件	加速垫	10046
玩法机关	玩法元件	推旋转门	10047
玩法机关	玩法元件	推开巨大木门	10048
玩法机关	玩法元件	汽化	10049
玩法机关	玩法元件	石板颤抖	10050
玩法机关	玩法元件	小石板移动	10051
玩法机关	玩法元件	小石板停止移动	10052
玩法机关	玩法元件	大石板开始移动	10053
玩法机关	玩法元件	大石板停止移动	10054
玩法机关	玩法元件	冲线烟花粒子	10055
玩法机关	玩法元件	空中花圈	10056
玩法机关	玩法元件	水球碰撞	10057
玩法机关	玩法元件	蘑菇变大	10058
玩法机关	玩法元件	木门破碎	10059
玩法机关	玩法元件	玻璃球撞击重	10060
玩法机关	玩法元件	玻璃球撞击轻	10061
玩法机关	玩法元件	玻璃球消失	10062
玩法机关	玩法元件	大蹦床	10065
玩法机关	玩法元件	圆形蹦床	10066
玩法机关	玩法元件	圆形蹦床2	10067
玩法机关	玩法元件	气球爆炸	10068
玩法机关	玩法元件	加速门	10069
玩法机关	玩法元件	进入管道时	10070
玩法机关	玩法元件	管道内穿梭时	10071
玩法机关	玩法元件	离开管道时	10072
玩法机关	玩法元件	荷叶地板重生	10073
玩法机关	玩法元件	翻转木板	10074
玩法机关	玩法元件	翻转木板2	10075
玩法机关	玩法元件	翻转木板3	10076
玩法机关	玩法元件	跷跷板星星	10077
玩法机关	玩法元件	准备祈福	10078
玩法机关	玩法元件	祈福结果	10079
玩法机关	玩法元件	游泳池水球移动	10080
玩法机关	玩法元件	玻璃球滚动	10081
玩法机关	玩法元件	玻璃球滚出	10082
玩法机关	玩法元件	进入平衡球	10083
玩法机关	玩法元件	离开平衡球	10084
玩法机关	玩法元件	平衡球滚动	10085
玩法机关	玩法元件	平衡球相撞	10086
玩法机关	玩法元件	平衡球碎裂	10087
